	playerID	yearID_x	stint	teamID_x	lgID_x	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	yearID_y	teamID_y	lgID_y	G_all	GS	G_batting	G_defense	G_p	G_c	G_1b	G_2b	G_3b	G_ss	G_lf	G_cf	G_rf	G_of	G_dh	G_ph	G_pr
5	abreubo01	2004	1	PHI	NL	159	574	118	173	47	1	30	105.0	40.0	5.0	127	116.0	10.0	5.0	0.0	7.0	5.0	2004	PHI	NL	159	157.0	159	158.0	0	0	0	0	0	0	0	0	158	158	0.0	2.0	0.0
6	acevejo01	2004	1	CIN	NL	39	43	0	2	0	0	0	1.0	0.0	0.0	3	26.0	0.0	0.0	5.0	1.0	1.0	2004	CIN	NL	39	27.0	38	39.0	39	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
8	adamsru01	2004	1	TOR	AL	22	72	10	22	2	1	4	10.0	1.0	0.0	5	5.0	0.0	1.0	0.0	0.0	3.0	2004	TOR	AL	22	18.0	22	21.0	0	0	0	0	0	21	0	0	0	0	0.0	4.0	0.0
15	aguilch01	2004	1	FLO	NL	29	45	10	10	2	1	3	5.0	0.0	0.0	2	12.0	0.0	0.0	1.0	0.0	0.0	2004	FLO	NL	29	7.0	29	20.0	0	0	0	0	0	0	6	0	14	20	0.0	8.0	4.0
17	alexama02	2004	1	TEX	AL	21	21	3	5	2	0	0	3.0	0.0	0.0	1	7.0	0.0	0.0	0.0	0.0	0.0	2004	TEX	AL	21	5.0	21	21.0	0	0	0	11	3	7	0	0	0	0	0.0	0.0	4.0
18	alfarja01	2004	1	HOU	NL	7	11	1	2	0	0	0	0.0	0.0	0.0	0	5.0	0.0	0.0	1.0	0.0	1.0	2004	HOU	NL	7	2.0	7	3.0	0	0	0	0	0	3	0	0	0	0	0.0	4.0	0.0
19	alfonan01	2004	1	ATL	NL	79	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	ATL	NL	79	0.0	76	79.0	79	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
20	alfoned01	2004	1	SFN	NL	139	519	66	150	26	1	11	77.0	1.0	1.0	46	40.0	2.0	5.0	2.0	4.0	15.0	2004	SFN	NL	139	127.0	139	133.0	0	0	0	5	129	0	0	0	0	0	0.0	9.0	0.0
21	allench01	2004	1	TEX	AL	20	58	4	14	4	1	0	6.0	0.0	1.0	2	13.0	0.0	0.0	2.0	1.0	1.0	2004	TEX	AL	20	15.0	20	13.0	0	0	0	0	0	0	12	0	1	13	5.0	5.0	0.0
24	alomaro01	2004	1	ARI	NL	38	110	14	34	5	2	3	16.0	0.0	2.0	12	18.0	0.0	1.0	2.0	0.0	2.0	2004	ARI	NL	38	24.0	38	28.0	0	0	0	28	0	0	0	0	0	0	1.0	10.0	0.0
28	alomasa02	2004	1	CHA	AL	50	146	15	35	4	0	2	14.0	0.0	0.0	11	13.0	2.0	2.0	3.0	2.0	4.0	2004	CHA	AL	50	47.0	50	49.0	0	49	0	0	0	0	0	0	0	0	1.0	1.0	0.0
29	aloumo01	2004	1	CHN	NL	155	601	106	176	36	3	39	106.0	3.0	0.0	68	80.0	2.0	0.0	0.0	6.0	12.0	2004	CHN	NL	155	153.0	155	154.0	0	0	0	0	0	0	154	0	0	154	1.0	1.0	0.0
31	alvarto01	2004	1	PIT	NL	24	38	5	8	2	0	1	8.0	0.0	0.0	4	7.0	0.0	1.0	0.0	2.0	1.0	2004	PIT	NL	24	10.0	24	16.0	0	0	0	0	0	0	3	4	9	16	0.0	9.0	2.0
32	alvarwi01	2004	1	LAN	NL	40	31	4	5	0	0	0	0.0	0.0	0.0	1	14.0	0.0	0.0	2.0	0.0	2.0	2004	LAN	NL	40	15.0	39	40.0	40	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
33	amezaal01	2004	1	ANA	AL	73	93	12	15	2	0	2	11.0	3.0	2.0	3	24.0	0.0	3.0	6.0	0.0	2.0	2004	ANA	AL	73	22.0	73	71.0	0	0	0	16	26	32	0	0	0	0	1.0	5.0	6.0
34	anderbr02	2004	1	KCA	AL	35	1	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	1.0	0.0	0.0	2004	KCA	AL	35	26.0	2	35.0	35	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
35	anderga01	2004	1	ANA	AL	112	442	57	133	20	1	14	75.0	2.0	1.0	29	75.0	6.0	1.0	0.0	3.0	3.0	2004	ANA	AL	112	110.0	112	94.0	0	0	0	0	0	0	0	94	0	94	18.0	2.0	0.0
37	anderji02	2004	1	CHN	NL	7	1	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2004	BOS	AL	5	0.0	1	5.0	5	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
41	anderma02	2004	1	SLN	NL	113	253	31	60	12	0	8	28.0	6.0	2.0	12	38.0	1.0	1.0	0.0	5.0	5.0	2004	SLN	NL	113	50.0	113	72.0	0	0	2	37	0	0	28	0	11	36	1.0	54.0	3.0
